AAPL_1. open,AAPL_2. high,AAPL_3. low,AAPL_4. close,AAPL_5. volume,MSFT_1. open,MSFT_2. high,MSFT_3. low,MSFT_4. close,MSFT_5. volume,GOOGL_1. open,GOOGL_2. high,GOOGL_3. low,GOOGL_4. close,GOOGL_5. volume
227.01,227.78,223.09,223.96,48201835.0,441.79,444.6,438.9125,442.94,15808755.0,180.59,182.7,180.23,181.67,24100345.0
224.82,226.8,223.275,224.31,49151453.0,433.1,441.14,432.0,437.11,20940417.0,178.88,180.29,177.13,177.66,18881885.0
230.28,230.44,222.27,224.18,66034585.0,444.34,444.65,434.4,440.37,20794822.0,181.93,182.5,176.47,177.69,25315727.0
229.45,231.4599,226.64,228.88,57345884.0,442.59,444.85,439.18,443.52,21754021.0,182.965,183.55,179.9,181.02,20734071.0
235.0,236.27,232.33,234.82,43234278.0,454.22,454.3,446.66,449.52,17175679.0,187.36,188.68,183.3736,183.92,18290722.0
236.48,237.23,233.09,234.4,62631252.0,453.3,457.26,451.43,453.96,14429447.0,184.92,188.24,184.92,186.53,16474043.0
228.92,232.64,228.68,230.54,53046527.0,454.325,456.36,450.645,453.55,16324274.0,185.08,187.11,184.49,185.07,22898406.0
231.39,232.39,225.77,227.57,64710617.0,462.98,464.78,451.55,454.7,23111175.0,189.845,190.86,185.08,185.57,25625784.0
229.3,233.08,229.25,232.98,62627687.0,461.22,466.46,458.855,466.25,18196100.0,189.15,191.75,189.03,191.18,15952454.0
227.93,229.4,226.3721,228.68,48169822.0,467.0,467.33,458.0,459.54,17228507.0,190.31,191.36,188.72,188.98,15141312.0
227.09,227.85,223.25,227.82,59085861.0,466.55,467.7,464.46,466.24,12962321.0,189.895,190.17,187.78,189.03,21035886.0
221.65,226.45,221.65,226.34,60412408.0,459.61,468.35,458.965,467.56,16000290.0,185.855,190.86,185.8,190.6,20967450.0
220.0,221.55,219.03,221.55,37369801.0,458.19,461.02,457.88,460.77,9932830.0,184.85,186.09,184.0,185.82,10242126.0
216.15,220.38,215.1,220.27,58046178.0,453.2,459.59,453.113,459.28,13979779.0,182.05,185.57,181.56,185.24,17372485.0
212.09,217.51,211.92,216.75,60402929.0,448.66,457.37,445.66,456.73,17662818.0,183.03,183.88,181.3,182.99,16006128.0
215.77,216.07,210.3,210.62,82542718.0,453.07,455.38,446.41,446.95,28362271.0,184.32,185.13,181.96,182.15,29156644.0
214.69,215.7395,212.35,214.1,49772707.0,452.175,456.17,451.77,452.85,14806324.0,184.18,186.05,184.02,185.41,18848884.0
211.5,214.86,210.64,213.25,66213186.0,449.0,453.6,448.19,452.16,16507030.0,182.63,184.51,182.48,183.88,19838972.0
209.15,211.38,208.61,209.07,56713868.0,448.25,451.42,446.75,450.95,16747529.0,179.62,184.29,179.42,184.03,23235589.0
207.72,212.7,206.59,208.14,80727006.0,449.8,452.75,446.41,447.67,15913719.0,180.16,180.89,178.67,179.22,18298012.0
210.39,211.89,207.11,207.49,246421353.0,447.38,450.58,446.51,449.78,34486172.0,177.0,180.85,176.61,179.63,58582743.0
213.93,214.24,208.85,209.68,86172451.0,446.3,446.53,441.27,445.7,19877378.0,175.37,177.29,174.99,176.3,20160085.0
217.59,218.63,213.0,214.29,79943254.0,449.705,450.14,444.89,446.34,17112504.0,177.14,177.385,174.1042,175.09,21869857.0
213.37,218.95,212.72,216.67,93728300.0,442.585,450.94,440.72,448.37,20790030.0,175.46,178.36,174.81,177.24,19618497.0
213.85,215.17,211.3,212.49,70122748.0,438.275,443.1376,436.721,442.57,13581985.0,174.22,177.0623,174.15,176.79,18063555.0
214.74,216.75,211.6,214.24,97862729.0,440.85,443.39,439.37,441.58,15960565.0,176.11,176.74,174.88,175.16,20913299.0
207.37,220.2,206.9,213.07,198134293.0,435.32,443.4,433.25,441.06,22366233.0,178.25,180.41,176.11,177.79,27864737.0
193.65,207.16,193.63,207.15,172373296.0,425.475,432.82,425.25,432.68,14551101.0,176.22,176.84,173.7701,176.62,21540582.0
196.9,197.3,192.15,193.12,97262077.0,424.7,428.08,423.89,427.87,14003034.0,174.97,177.06,172.76,175.01,23779218.0
194.65,196.94,194.14,196.89,53103912.0,426.2,426.28,423.0,423.85,13621650.0,177.05,177.87,174.3,174.46,19661399.0
195.685,196.5,194.17,194.48,41181753.0,424.01,425.31,420.58,424.52,14861251.0,175.895,177.15,175.75,176.73,23251013.0
195.4,196.9,194.87,195.87,54156785.0,417.81,424.08,416.3,424.01,16988038.0,175.2,176.645,173.9339,175.41,22068519.0
194.635,195.32,193.0342,194.35,47471445.0,412.43,416.44,409.675,416.07,14348917.0,173.28,173.845,171.89,173.79,26879596.0
192.9,194.99,192.52,194.03,50080539.0,415.525,416.43,408.9234,413.52,17484675.0,172.54,174.525,171.16,173.17,27459118.0
191.44,192.57,189.91,192.25,75158277.0,416.75,416.75,404.51,415.13,47995250.0,171.86,173.06,169.44,172.5,37638876.0
190.76,192.18,190.63,191.29,49947941.0,424.3,424.3,414.24,414.67,28424847.0,175.2,175.22,171.79,172.11,22958677.0
189.61,192.247,189.51,190.29,53068016.0,425.69,430.94,425.69,429.17,15517130.0,175.43,176.836,174.72,175.9,23388693.0
191.51,193.0,189.1,189.99,52280051.0,429.63,430.82,426.6,430.32,15718024.0,174.45,177.27,174.365,176.4,20572157.0
188.82,190.58,188.0404,189.98,36326975.0,427.19,431.055,424.41,430.16,11855285.0,174.98,175.77,173.65,174.99,16579438.0
190.98,191.0,186.625,186.88,51005924.0,432.97,433.6,425.424,427.0,17211689.0,177.07,178.25,172.95,173.55,21024935.0
192.265,192.8231,190.27,190.9,34648547.0,430.09,432.41,427.13,430.52,18073698.0,176.644,177.15,175.21,176.38,17880042.0
191.09,192.73,190.9201,192.35,42309401.0,426.825,432.97,424.85,429.04,21453255.0,176.9,178.15,175.81,177.85,16989369.0
189.325,191.9199,189.01,191.04,44361275.0,420.21,426.77,419.99,425.34,16272137.0,176.192,178.77,176.08,176.92,22554400.0
189.51,190.81,189.18,189.87,41282925.0,422.54,422.92,418.025,420.21,15352239.0,174.18,176.265,173.69,176.06,24479262.0
190.47,191.095,189.6601,189.84,52845230.0,421.8,425.42,420.35,420.99,17530050.0,173.29,175.115,172.69,174.18,27867947.0
187.91,190.65,187.37,189.72,70399988.0,417.9,423.81,417.27,423.08,22239533.0,170.63,172.65,170.51,172.51,26948370.0
187.51,188.3,186.29,187.43,52393619.0,412.02,417.49,411.55,416.56,15109306.0,169.77,171.25,168.8,170.34,25127138.0
185.435,187.1,184.62,186.28,72044809.0,418.01,418.348,410.82,413.72,15440226.0,164.26,169.28,164.0,169.14,31327602.0
184.9,185.09,182.13,183.05,50759496.0,412.935,415.38,411.8,414.74,13402281.0,168.025,169.85,166.19,168.65,29799931.0
182.56,184.66,182.11,184.57,48982972.0,410.57,412.72,409.1,412.32,14689727.0,169.39,170.69,168.18,169.96,15346700.0
182.85,183.07,181.45,182.74,45057087.0,408.17,412.23,406.7132,410.54,11792308.0,169.0,170.15,168.735,169.38,19569146.0
183.45,184.9,181.32,182.4,77305771.0,414.66,414.67,409.09,409.34,20018228.0,168.5,171.76,168.39,171.25,28039696.0
182.354,184.2,180.42,181.71,78569667.0,408.76,413.93,406.3701,413.54,16996639.0,167.46,168.14,166.03,168.1,21871283.0
186.645,187.0,182.66,183.38,163224109.0,402.28,407.15,401.86,406.66,17446724.0,167.56,167.96,163.05,167.24,34662432.0
172.51,173.415,170.89,173.03,94214915.0,397.66,399.93,394.6515,397.84,17709364.0,164.785,166.73,163.89,166.62,24294549.0
